,Coefficient,Intercept,R squared
Laser_1,-0.00010263591194351291,0.194460180607011,0.9868713543592577
Laser_2,-0.0006811294536137287,0.8887179491007696,0.997555112984539
Laser_3,0.0,0.0,1.0
Laser_4,-0.000686859226360677,1.2352495653040285,0.9518011659390715
Laser_5,-9.317189828356383e-05,0.6558626696025811,0.7253473256290508
Laser_6,-0.00011146457607254046,0.6382501826017442,0.8062072814591705
Laser_7,-0.0001256708558586293,0.7891135975402672,0.8678041571976283
Laser_8,-0.000519309713329851,1.1776007707033056,0.9884101982390361
